0.0099 0.0484 0.0299 0.0297 0.0652 0.1077 0.2363 0.2385 0.0075 0.1882 0.1456 0.1892 0.3176 0.134 0.2169 0.2458 0.2589 0.2786 0.2298 0.0656 0.1441 0.1179 0.1668 0.1783 0.2476 0.257 0.1036 0.5356 0.7124 0.6291 0.4756 0.6015 0.7208 0.6234 0.5725 0.7523 0.8712 0.9252 0.9709 0.9297 0.8995 0.7911 0.56 0.2838 0.4407 0.5507 0.4331 0.2905 0.1981 0.0779 0.0396 0.0173 0.0149 0.0115 0.0202 0.0139 0.0029 0.016 0.0106 0.0134 R 
0.0195 0.0142 0.0181 0.0406 0.0391 0.0249 0.0892 0.0973 0.084 0.1191 0.1522 0.1322 0.1434 0.1244 0.0653 0.089 0.1226 0.1846 0.388 0.3658 0.2297 0.261 0.4193 0.5848 0.5643 0.5448 0.4772 0.6897 0.9797 1.0 0.9546 0.8835 0.7662 0.6547 0.5447 0.4593 0.4679 0.1987 0.0699 0.1493 0.1713 0.1654 0.26 0.3846 0.3754 0.2414 0.1077 0.0224 0.0155 0.0187 0.0125 0.0028 0.0067 0.012 0.0012 0.0022 0.0058 0.0042 0.0067 0.0012 R 
0.0459 0.0437 0.0347 0.0456 0.0067 0.089 0.1798 0.1741 0.1598 0.1408 0.2693 0.3259 0.4545 0.5785 0.4471 0.2231 0.2164 0.3201 0.2915 0.4235 0.446 0.238 0.6415 0.8966 0.8918 0.7529 0.6838 0.839 1.0 0.8362 0.5427 0.4577 0.8067 0.6973 0.3915 0.1558 0.1598 0.2161 0.5178 0.4782 0.2344 0.3599 0.2785 0.1807 0.0352 0.0473 0.0322 0.0408 0.0163 0.0088 0.0121 0.0067 0.0032 0.0109 0.0164 0.0151 0.007 0.0085 0.0117 0.0056 R 
0.0131 0.0387 0.0329 0.0078 0.0721 0.1341 0.1626 0.1902 0.261 0.3193 0.3468 0.3738 0.3055 0.1926 0.1385 0.2122 0.2758 0.4576 0.6487 0.7154 0.801 0.7924 0.8793 1.0 0.9865 0.9474 0.9474 0.9315 0.8326 0.6213 0.3772 0.2822 0.2042 0.219 0.2223 0.1327 0.0521 0.0618 0.1416 0.146 0.0846 0.1055 0.1639 0.1916 0.2085 0.2335 0.1964 0.13 0.0633 0.0183 0.0137 0.015 0.0076 0.0032 0.0037 0.0071 0.004 0.0009 0.0015 0.0085 M 
0.043 0.0902 0.0833 0.0813 0.0165 0.0277 0.0569 0.2057 0.3887 0.7106 0.7342 0.5033 0.3 0.1951 0.2767 0.3737 0.2507 0.2507 0.3292 0.4871 0.6527 0.8454 0.9739 1.0 0.6665 0.5323 0.4024 0.3444 0.4239 0.4182 0.4393 0.1162 0.4336 0.6553 0.6172 0.4373 0.4118 0.3641 0.4572 0.4367 0.2964 0.4312 0.4155 0.1824 0.1487 0.0138 0.1164 0.2052 0.1069 0.0199 0.0208 0.0176 0.0197 0.021 0.0141 0.0049 0.0027 0.0162 0.0059 0.0021 M 
0.018 0.0444 0.0476 0.0698 0.1615 0.0887 0.0596 0.1071 0.3175 0.2918 0.3273 0.3035 0.3033 0.2587 0.1682 0.1308 0.2803 0.4519 0.6641 0.7683 0.696 0.4393 0.2432 0.2886 0.4974 0.8172 1.0 0.9238 0.8519 0.7722 0.5772 0.519 0.6824 0.622 0.5054 0.3578 0.3809 0.3813 0.3359 0.2771 0.3648 0.3834 0.3453 0.2096 0.1031 0.0798 0.0701 0.0526 0.0241 0.0117 0.0122 0.0122 0.0114 0.0098 0.0027 0.0025 0.0026 0.005 0.0073 0.0022 M 
0.0323 0.0101 0.0298 0.0564 0.076 0.0958 0.099 0.1018 0.103 0.2154 0.3085 0.3425 0.299 0.1402 0.1235 0.1534 0.1901 0.2429 0.212 0.2395 0.3272 0.5949 0.8302 0.9045 0.9888 0.9912 0.9448 1.0 0.9092 0.7412 0.7691 0.7117 0.5304 0.2131 0.0928 0.1297 0.1159 0.1226 0.1768 0.0345 0.1562 0.0824 0.1149 0.1694 0.0954 0.008 0.079 0.1255 0.0647 0.0179 0.0051 0.0061 0.0093 0.0135 0.0063 0.0063 0.0034 0.0032 0.0062 0.0067 M 
0.0423 0.0321 0.0709 0.0108 0.107 0.0973 0.0961 0.1323 0.2462 0.2696 0.3412 0.4292 0.3682 0.394 0.2965 0.3172 0.2825 0.305 0.2408 0.542 0.6802 0.632 0.5824 0.6805 0.5984 0.8412 0.9911 0.9187 0.8005 0.6713 0.5632 0.7332 0.6038 0.2575 0.0349 0.1799 0.3039 0.476 0.5756 0.4254 0.5046 0.7179 0.6163 0.5663 0.5749 0.3593 0.2526 0.2299 0.1271 0.0356 0.0367 0.0176 0.0035 0.0093 0.0121 0.0075 0.0056 0.0021 0.0043 0.0017 M 
0.1313 0.2339 0.3059 0.4264 0.401 0.1791 0.1853 0.0055 0.1929 0.2231 0.2907 0.2259 0.3136 0.3302 0.366 0.3956 0.4386 0.467 0.5255 0.3735 0.2243 0.1973 0.4337 0.6532 0.507 0.2796 0.4163 0.595 0.5242 0.4178 0.3714 0.2375 0.0863 0.1437 0.2896 0.4577 0.3725 0.3372 0.3803 0.4181 0.3603 0.2711 0.1653 0.1951 0.2811 0.2246 0.1921 0.15 0.0665 0.0193 0.0156 0.0362 0.021 0.0154 0.018 0.0013 0.0106 0.0127 0.0178 0.0231 M 
0.115 0.1163 0.0866 0.0358 0.0232 0.1267 0.2417 0.2661 0.4346 0.5378 0.3816 0.0991 0.0616 0.1795 0.3907 0.3602 0.3041 0.2428 0.406 0.8395 0.9777 0.468 0.061 0.2143 0.1348 0.2854 0.1617 0.2649 0.4565 0.6502 0.2848 0.3296 0.537 0.6627 0.8626 0.8547 0.7848 0.9016 0.8827 0.6086 0.281 0.0906 0.1177 0.2694 0.5214 0.4232 0.234 0.1928 0.1092 0.0507 0.0228 0.0099 0.0065 0.0085 0.0166 0.011 0.019 0.0141 0.0068 0.0086 M 
